name,URL,price,saler,num_id,product_id,Type1,Type2
雀巢原味咖啡,http://item.jd.com/1233203.html,115.00,京东自营,1,1233203,食品饮料,咖啡/奶茶
雀巢特浓咖啡,http://item.jd.com/1233202.html,39.90,京东自营,2,1233202,食品饮料,咖啡/奶茶
雀巢1+2原味咖啡,http://item.jd.com/1313267.html,119.00,京东自营,3,1313267,食品饮料,咖啡/奶茶
雀巢咖啡,http://item.jd.com/270660.html,158.00,京东自营,4,270660,食品饮料,咖啡/奶茶
奢斐/CEPHEI马来西亚特浓三合一白咖啡粉速溶50条800克原装进口,http://item.jd.com/10252604884.html,128.00,,5,10252604884,食品饮料,冲调饮品
雀巢1+2原味咖啡,http://item.jd.com/1230499.html,98.00,京东自营,6,1230499,食品饮料,咖啡/奶茶
麦斯威尔原味速溶咖啡13g*7条,http://item.jd.com/2493112.html,11.50,,7,2493112,食品饮料,咖啡/奶茶
麦斯威尔咖啡,http://item.jd.com/774304.html,73.80,,8,774304,食品饮料,咖啡/奶茶
麦斯威尔咖啡,http://item.jd.com/774307.html,83.50,,9,774307,食品饮料,咖啡/奶茶
雀巢奶香咖啡,http://item.jd.com/1233195.html,42.90,京东自营,10,1233195,食品饮料,咖啡/奶茶
麦斯威尔特浓速溶咖啡13g*30条,http://item.jd.com/2493023.html,40.80,,11,2493023,食品饮料,咖啡/奶茶
奢斐8味咖啡大礼包815g,http://item.jd.com/1729760.html,98.00,,13,1729760,食品饮料,咖啡/奶茶
雀巢咖啡 1+2原味条装速溶咖啡 美味香醇 15g*100条,http://item.jd.com/1572703410.html,168.00,,14,1572703410,食品饮料,咖啡/奶茶
麦斯威尔奶香速溶咖啡13g*30条,http://item.jd.com/2493138.html,40.80,,15,2493138,食品饮料,咖啡/奶茶
雀巢醇品速溶咖啡48杯,http://item.jd.com/2202076.html,36.90,京东自营,16,2202076,食品饮料,咖啡/奶茶
雀巢金牌咖啡法式烘焙,http://item.jd.com/1083759.html,109.00,京东自营,17,1083759,食品饮料,咖啡/奶茶
雀巢浓臻交响即溶咖啡,http://item.jd.com/1341670.html,90.00,京东自营,18,1341670,食品饮料,咖啡/奶茶
麦斯威尔咖啡,http://item.jd.com/1191421.html,130.00,,19,1191421,食品饮料,咖啡/奶茶
雀巢无蔗糖添加2合1咖啡30条330g(雀巢首款无糖咖啡）,http://item.jd.com/1711904.html,45.90,京东自营,20,1711904,食品饮料,咖啡/奶茶
雀巢原味咖啡,http://item.jd.com/1233204.html,29.90,京东自营,21,1233204,食品饮料,咖啡/奶茶
雀巢咖啡,http://item.jd.com/807892.html,36.90,京东自营,22,807892,食品饮料,咖啡/奶茶
美国进口 星巴克（Starbucks）纯黑咖啡豆 可研磨咖啡粉 浓缩烘焙咖啡豆,http://item.jd.com/1577715518.html,238.00,,23,1577715518,食品饮料,咖啡/奶茶
麦斯威尔咖啡,http://item.jd.com/774306.html,59.20,,24,774306,食品饮料,咖啡/奶茶
一楠白咖啡,http://item.jd.com/2170742.html,2.00,,26,2170742,食品饮料,咖啡/奶茶
麦斯威尔经典拿铁速溶咖啡21g*5条,http://item.jd.com/2493041.html,15.90,,27,2493041,食品饮料,咖啡/奶茶
雀巢咖啡伴侣,http://item.jd.com/1115609.html,32.50,京东自营,28,1115609,食品饮料,咖啡/奶茶
麦斯威尔麦斯威尔 Maxwell 10条香草咖啡13g,http://item.jd.com/1953164.html,16.10,,29,1953164,食品饮料,咖啡/奶茶
迪欧三合一速溶咖啡,http://item.jd.com/1956763.html,95.00,,30,1956763,食品饮料,咖啡/奶茶
雀巢原味咖啡,http://item.jd.com/1233203.html,115.00,京东自营,31,1233203,食品饮料,咖啡/奶茶
雀巢特浓咖啡,http://item.jd.com/1233202.html,39.90,京东自营,32,1233202,食品饮料,咖啡/奶茶
雀巢1+2原味咖啡,http://item.jd.com/1313267.html,119.00,京东自营,33,1313267,食品饮料,咖啡/奶茶
雀巢咖啡,http://item.jd.com/270660.html,158.00,京东自营,34,270660,食品饮料,咖啡/奶茶
